1,44,74,38,37839
0,2,3,1,1121
0,2,3,1,1101
0,2,3,1,1089
0,2,3,1,1092
0,2,3,1,1093
1,16,57,15,15518
0,2,3,1,1136
0,2,3,1,1098
0,2,3,1,1099
0,2,3,1,1099
0,2,3,1,1089
1,16,57,15,15274
0,2,3,1,1097
0,2,3,1,1093
0,2,3,1,1096
0,2,3,1,1088
0,2,3,1,1088
1,16,57,15,15308
0,2,3,1,1105
0,2,3,1,1097
0,2,3,1,1097
0,2,3,1,1095
0,2,3,1,1098
1,16,57,15,15285
0,2,3,1,1090
0,2,3,1,1098
0,2,3,1,1090
0,2,3,1,1094
0,2,3,1,1091
1,16,57,15,15286
0,2,3,1,1095
0,2,3,1,1092
0,2,3,1,1091
0,2,3,1,1095
0,2,3,1,1095
1,16,57,15,15272
0,2,3,1,1097
0,2,3,1,1091
0,2,3,1,1092
0,2,3,1,1090
0,2,3,1,1094
1,16,57,15,15257
0,2,3,1,1097
0,2,3,1,1096
0,2,3,1,1098
0,2,3,1,1117
0,2,3,1,1099
1,16,57,15,15278
0,2,3,1,1090
