workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,118772,0,499,3460
100,display,3,437933,0,465,3607
100,display,3,155067,0,347,3455
100,display,3,198239,0,479,3456
100,display,3,148092,0,459,3454
100,display,3,136371,0,491,3456
100,display,3,134176,0,520,3455
100,display,3,188921,0,467,3456
100,display,3,172840,0,504,3454
100,display,3,123581,0,441,3456
100,display,3,114856,0,451,3456
100,display,3,140845,0,458,3455
100,display,3,232082,0,430,3402
100,display,3,185553,0,488,3460
100,display,3,145099,0,434,3454
100,display,3,132981,0,409,3460
100,display,3,120168,0,461,3456
100,display,3,176252,0,455,3454
100,display,3,139331,0,416,3458
100,display,3,209569,0,541,3459
100,display,3,175628,0,501,3455
100,display,3,196564,0,490,3454
100,display,3,149250,0,459,3455
100,display,3,194139,0,350,3455
100,display,3,174273,0,365,3456
100,display,3,154264,0,448,3455
100,display,3,167743,0,466,3451
100,display,3,136840,0,471,3458
100,display,3,138426,0,450,3454
100,display,3,196683,0,513,3606
100,display,3,235110,0,477,3460
100,display,3,146696,0,429,3454
100,display,3,221072,0,462,3456
100,display,3,150201,0,441,3456
100,display,3,199019,0,461,3458
100,display,3,178680,0,464,3455
100,display,3,154672,0,447,3460
100,display,3,152298,0,445,3460
100,display,3,218495,0,562,3456
100,display,3,234701,0,440,3449
100,display,3,185721,0,422,3449
100,display,3,173496,0,474,3454
100,display,3,193614,0,357,3460
100,display,3,159524,0,451,3455
100,display,3,171247,0,422,3455
100,display,3,142084,0,459,3454
100,display,3,141846,0,441,3456
100,display,3,178892,0,514,3454
100,display,3,116648,0,463,3460
100,display,3,158140,0,473,3454
100,display,3,251068,0,494,3455
100,display,3,597511,0,477,3456
100,display,3,171362,0,443,3454
100,display,3,159523,0,484,3456
100,display,3,136193,0,436,3456
100,display,3,159660,0,575,3456
100,display,3,151403,0,447,3454
100,display,3,143356,0,478,3456
100,display,3,153882,0,439,3456
100,display,3,161277,0,504,3455
100,display,3,144804,0,447,3458
100,display,3,160157,0,464,3458
100,display,3,170926,0,454,3451
100,display,3,140318,0,430,3458
100,display,3,192309,0,538,3460
100,display,3,147264,0,436,3454
100,display,3,169533,0,435,3460
100,display,3,180681,0,420,3456
100,display,3,118752,0,436,3456
100,display,3,137594,0,434,3456
100,display,3,163911,0,482,3456
100,display,3,142314,0,457,3456
100,display,3,168107,0,466,3456
100,display,3,149144,0,468,3456
100,display,3,109460,0,427,3455
100,display,3,145354,0,469,3454
100,display,3,141354,0,450,3456
100,display,3,135105,0,434,3460
100,display,3,184033,0,503,3460
100,display,3,125341,0,493,3460
100,display,3,657893,0,502,3456
100,display,3,127763,0,433,3458
100,display,3,120102,0,447,3454
100,display,3,193794,0,344,3455
100,display,3,138449,0,454,3456
100,display,3,177118,0,485,3455
100,display,3,173653,0,467,3454
100,display,3,123711,0,449,3458
100,display,3,165749,0,418,3455
100,display,3,152640,0,435,3456
100,display,3,185291,0,536,3455
100,display,3,144983,0,450,3460
100,display,3,145682,0,469,3454
100,display,3,226212,0,473,3456
100,display,3,110608,0,425,3456
100,display,3,180891,0,459,3456
100,display,3,182723,0,459,3456
100,display,3,155545,0,444,3453
100,display,3,171492,0,408,3457
100,display,3,134119,0,410,3456
100,display,3,168556,0,512,3451
100,display,3,81346,0,490,3454
100,display,3,220685,0,573,3455
100,display,3,145436,0,428,3456
100,display,3,158783,0,508,3450
100,display,3,178362,0,569,3456
100,display,3,124402,0,460,3456
100,display,3,233803,0,443,3455
100,display,3,196414,0,377,3455
100,display,3,210823,0,430,3454
100,display,3,191427,0,504,3456
100,display,3,171660,0,422,3456
100,display,3,153379,0,460,3454
100,display,3,150064,0,466,3451
100,display,3,229978,0,460,3455
100,display,3,186323,0,568,3456
100,display,3,114150,0,435,3455
100,display,3,286762,0,473,3460
100,display,3,179209,0,455,3456
100,display,3,148648,0,505,3456
100,display,3,150224,0,482,3458
100,display,3,183124,0,430,3451
100,display,3,129147,0,453,3453
100,display,3,179788,0,440,3460
100,display,3,161830,0,500,3447
100,display,3,217615,0,580,3448
100,display,3,126750,0,485,3454
100,display,3,222807,0,513,3454
100,display,3,153317,0,437,3456
100,display,3,130621,0,430,3456
100,display,3,191684,0,431,3456
100,display,3,134307,0,464,3456
100,display,3,121189,0,411,3453
100,display,3,79098,0,420,3445
100,display,3,177054,0,423,3454
100,display,3,114161,0,414,3456
100,display,3,149875,0,442,3456
100,display,3,217863,0,506,3460
100,display,3,100153,0,421,3456
100,display,3,230654,0,456,3455
100,display,3,147331,0,451,3454
100,display,3,125975,0,453,3460
100,display,3,230394,0,434,3454
100,display,3,193662,0,349,3455
100,display,3,232731,0,476,3456
100,display,3,172942,0,463,3454
100,display,3,162406,0,470,3451
