workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
200,display,3,70512,0,447,3457
200,display,3,97972,0,437,3457
200,display,3,89516,0,417,3457
200,display,3,78483,0,417,3461
200,display,3,103121,0,466,3459
200,display,3,101090,0,428,3457
200,display,3,99417,0,447,3459
200,display,3,93789,0,413,3456
200,display,3,90173,0,429,3455
200,display,3,88989,0,381,3461
200,display,3,111373,0,378,3461
200,display,3,95895,0,441,3461
200,display,3,99739,0,424,3455
200,display,3,106334,0,427,3461
200,display,3,102921,0,423,3455
200,display,3,96473,0,455,3452
200,display,3,66749,0,414,3448
200,display,3,105384,0,419,3459
200,display,3,125152,0,456,3461
200,display,3,90911,0,403,3457
200,display,3,101940,0,400,3461
200,display,3,104269,0,426,3457
200,display,3,92900,0,407,3461
200,display,3,89391,0,418,3457
200,display,3,107102,0,390,3450
200,display,3,92473,0,388,3452
200,display,3,112046,0,437,3459
200,display,3,97052,0,421,3461
300,display,3,91780,0,390,3457
300,display,3,94155,0,421,3457
300,display,3,90551,0,401,3457
300,display,3,90247,0,405,3457
300,display,3,100099,0,440,3461
300,display,3,90406,0,395,3457
300,display,3,128118,0,465,3450
300,display,3,93016,0,380,3457
300,display,3,101142,0,436,3461
300,display,3,117947,0,412,3455
300,display,3,110683,0,400,3457
300,display,3,96143,0,430,3461
300,display,3,99044,0,414,3455
300,display,3,96589,0,439,3457
300,display,3,104399,0,412,3461
300,display,3,95085,0,418,3457
300,display,3,96441,0,431,3452
300,display,3,100680,0,449,3459
300,display,3,92635,0,395,3457
300,display,3,100873,0,414,3459
300,display,3,111338,0,428,3455
300,display,3,87197,0,404,3452
300,display,3,100522,0,437,3459
300,display,3,91348,0,400,3457
300,display,3,92010,0,427,3455
300,display,3,84105,0,400,3451
300,display,3,114624,0,361,3452
300,display,3,338214,0,428,3461
300,display,3,98501,0,447,3461
300,display,3,91811,0,418,3457
300,display,3,110899,0,409,3461
300,display,3,95301,0,431,3457
300,display,3,98187,0,413,3450
300,display,3,101019,0,464,3461
300,display,3,91827,0,414,3456
300,display,3,102707,0,424,3452
300,display,3,110951,0,404,3461
300,display,3,94980,0,414,3457
300,display,3,98190,0,406,3461
300,display,3,91216,0,422,3455
300,display,3,113953,0,549,3611
300,display,3,94548,0,418,3456
300,display,3,98746,0,415,3461
300,display,3,89707,0,415,3455
300,display,3,91975,0,407,3457
300,display,3,125294,0,438,3457
300,display,3,103205,0,463,3457
300,display,3,98231,0,422,3457
300,display,3,100948,0,399,3455
300,display,3,102372,0,484,3457
300,display,3,98806,0,439,3461
300,display,3,118982,0,446,3457
300,display,3,92775,0,413,3450
300,display,3,100539,0,417,3457
300,display,3,91617,0,381,3457
300,display,3,88992,0,435,3457
300,display,3,89623,0,397,3457
300,display,3,88935,0,392,3456
300,display,3,107934,0,407,3459
300,display,3,2144595,0,457,3457
300,display,3,101312,0,419,3459
300,display,3,91930,0,403,3455
300,display,3,99478,0,437,3455
300,display,3,107011,0,414,3456
300,display,3,86540,0,423,3452
300,display,3,94236,0,424,3448
300,display,3,106030,0,403,3461
300,display,3,93954,0,415,3455
300,display,3,95439,0,403,3450
300,display,3,97605,0,445,3459
300,display,3,105343,0,455,3455
300,display,3,98200,0,436,3461
300,display,3,91605,0,417,3457
300,display,3,103999,0,434,3456
300,display,3,91724,0,420,3457
300,display,3,106790,0,430,3457
300,display,3,92381,0,398,3455
300,display,3,99326,0,421,3456
300,display,3,96586,0,400,3455
300,display,3,94205,0,411,3456
300,display,3,125157,0,523,3457
300,display,3,109229,0,483,3459
300,display,3,90282,0,393,3455
300,display,3,67633,0,461,3456
300,display,3,98762,0,382,3461
300,display,3,93318,0,394,3456
300,display,3,104156,0,455,3461
300,display,3,93925,0,406,3452
300,display,3,99890,0,415,3457
300,display,3,93975,0,425,3457
300,display,3,114608,0,504,3461
300,display,3,100774,0,431,3457
300,display,3,105227,0,399,3457
300,display,3,98747,0,397,3461
300,display,3,100936,0,412,3461
300,display,3,96408,0,402,3455
300,display,3,139297,0,529,3456
300,display,3,63742,0,406,3455
300,display,3,98229,0,420,3459
300,display,3,93689,0,401,3456
400,display,3,98893,0,428,3461
400,display,3,98577,0,409,3461
400,display,3,102451,0,406,3455
400,display,3,128588,0,503,3452
400,display,3,787135,0,742,3456
400,display,3,87507,0,398,3457
400,display,3,127446,0,473,3454
400,display,3,101913,0,394,3455
400,display,3,105568,0,432,3452
400,display,3,85687,0,391,3457
400,display,3,64531,0,389,3456
400,display,3,63426,0,406,3456
400,display,3,95412,0,413,3461
400,display,3,97630,0,450,3456
400,display,3,95932,0,416,3459
400,display,3,117082,0,485,3454
400,display,3,102806,0,404,3455
400,display,3,90295,0,390,3455
400,display,3,118624,0,466,3455
400,display,3,114450,0,458,3461
400,display,3,87252,0,400,3455
400,display,3,85417,0,437,3457
400,display,3,101370,0,418,3457
400,display,3,104216,0,396,3461
400,display,3,95777,0,415,3461
400,display,3,76401,0,470,3452
400,display,3,96159,0,401,3461
400,display,3,95133,0,442,3457
400,display,3,116046,0,431,3456
400,display,3,115145,0,449,3455
400,display,3,89377,0,401,3455
400,display,3,93379,0,395,3455
400,display,3,97561,0,388,3457
400,display,3,95317,0,487,3457
400,display,3,94058,0,414,3459
400,display,3,90595,0,422,3455
400,display,3,113290,0,429,3457
400,display,3,110736,0,441,3455
400,display,3,110310,0,430,3459
400,display,3,87077,0,426,3457
400,display,3,125884,0,484,3457
400,display,3,88677,0,406,3452
400,display,3,106254,0,466,3456
400,display,3,110190,0,411,3459
400,display,3,93804,0,424,3459
400,display,3,69648,0,375,3456
400,display,3,101063,0,437,3455
400,display,3,99608,0,400,3457
400,display,3,102328,0,457,3457
400,display,3,80359,0,442,3447
400,display,3,91026,0,430,3455
400,display,3,90344,0,380,3455
400,display,3,89400,0,412,3448
400,display,3,87969,0,405,3457
400,display,3,117835,0,429,3457
400,display,3,88394,0,409,3456
400,display,3,99783,0,418,3457
400,display,3,95660,0,419,3455
400,display,3,91441,0,420,3457
400,display,3,91937,0,393,3459
400,display,3,65570,0,395,3455
